410nm, PG C8
10/31/2024 12:19:29 PM
Time (seconds),Absorbance
0.00,0.079634
3.05,0.131652
6.03,0.177584
9.03,0.220487
12.02,0.260946
15.04,0.303641
18.03,0.343634
21.03,0.381703
24.04,0.417689
27.03,0.451627
30.03,0.483649
